Province|City|District or County|Street name
上海市|上海市|普陀区|长寿路
上海市|上海市|普陀区|西康路
江苏省|南京市|鼓楼区|颐和路
江苏省|南京市|鼓楼区|琅琊路
江苏省|扬州市|广陵区|兴丰路
江苏省|扬州市|广陵区|田桥路
江苏省|徐州市|云龙区|复兴北路
江苏省|徐州市|云龙区|镇平街
江苏省|宿迁市|宿城区|红海路
江苏省|宿迁市|宿城区|洪泽湖西路
江苏省|盐城市|亭湖区|青年路
江苏省|盐城市|亭湖区|五星路
江苏省|南通市|通州区|龙腾路
江苏省|南通市|通州区|振兴东路
江苏省|泰州市|海陵区|青年南路
江苏省|泰州市|海陵区|永定东路
江苏省|苏州市|平江区|广济北路
江苏省|苏州市|平江区|北环西路
江苏省|常州市|武进区|永胜中路
江苏省|常州市|武进区|小庙路
江苏省|无锡市|崇安区|兴昌北路
江苏省|无锡市|崇安区|通勤路
江苏省|镇江市|丹徒区|站前北路
江苏省|镇江市|丹徒区|五州山路
浙江省|杭州市|上城区|江城路
浙江省|杭州市|上城区|望江路
浙江省|宁波市|海曙区|马园路
浙江省|宁波市|海曙区|长春路
浙江省|温州市|鹿城区|吴桥路
浙江省|温州市|鹿城区|宽带路
浙江省|绍兴市|越城区|二环北路
浙江省|绍兴市|越城区|中兴北路
浙江省|湖州市|南浔区|强华路
浙江省|湖州市|南浔区|东金西路
浙江省|嘉兴市|南湖区|广益路
浙江省|嘉兴市|南湖区|新气象路
浙江省|金华市|婺城区|后丰路
浙江省|金华市|婺城区|迪耳路
浙江省|衢州市|柯城区|五环路
浙江省|衢州市|柯城区|百汇路
浙江省|舟山市|定海区|千岛路
浙江省|舟山市|定海区|怡岛路
浙江省|台州市|黄岩区|黄椒路
浙江省|台州市|黄岩区|二环东路
浙江省|丽水市|莲都区|人民路
浙江省|丽水市|莲都区|花园路
福建省|福州市|仓山区|双湖三路
福建省|福州市|仓山区|高兴路
福建省|厦门市|思明区|莲前西路
福建省|厦门市|思明区|卧龙路
福建省|莆田市|涵江区|国欢西路
福建省|莆田市|涵江区|滨海大道
福建省|宁德市|蕉城区|天湖西路
福建省|宁德市|蕉城区|蕉城南路
福建省|泉州市|丰泽区|东湖街
福建省|泉州市|丰泽区|宝洲路
福建省|漳州市|芗城区|胜利西路
福建省|漳州市|芗城区|新华北路
福建省|龙岩市|新罗区|龙腾北路
福建省|龙岩市|新罗区|凤凰北路
福建省|三明市|三元区|下洋三路
福建省|三明市|三元区|江滨南路
福建省|南平市|延平区|内环路
福建省|南平市|延平区|进步路
广东省|广州市|越秀区|府学西街
广东省|广州市|越秀区|文德北路
广东省|深圳市|罗湖区|建设路
广东省|深圳市|罗湖区|船步路
广东省|珠海市|金湾区|昌盛路
广东省|珠海市|金湾区|情侣南路
广东省|汕头市|龙湖区|泰山南路
广东省|汕头市|龙湖区|金沙东路
广东省|佛山市|顺德区|县东路
广东省|佛山市|顺德区|文秀路
广东省|韶关市|武江区|韶关大道
广东省|韶关市|武江区|百旺路
广东省|湛江市|霞山区|解放东路
广东省|湛江市|霞山区|民享路
广东省|肇庆市|端州区|星湖大道
广东省|肇庆市|端州区|棠岗路
广东省|江门市|蓬江区|建设二路
广东省|江门市|蓬江区|迎宾大道中
广东省|惠州市|慧城区|花园中路
广东省|惠州市|慧城区|鹅岭西路
云南省|昆明市|西山区|大观路
云南省|昆明市|西山区|西华北路
云南省|曲靖市|麒麟区|翠峰东路
云南省|曲靖市|麒麟区|南宁西路
云南省|玉溪市|红塔区|红塔山路
云南省|玉溪市|红塔区|凤凰路路
云南省|昭通市|昭阳区|菁门路
云南省|昭通市|昭阳区|麟凤路
云南省|保山市|隆阳区|九龙路
云南省|保山市|隆阳区|人民路
云南省|丽江市|古城区|太和路
云南省|丽江市|古城区|康仲路
云南省|普洱市|思茅区|边城路
云南省|普洱市|思茅区|振兴大道
云南省|临沧市|临翔区|文华路
